square_id,timestamp,datetime,internet_traffic
4159,1383260400000,2013-11-01 00:00:00+0100,224.80853158887476
4159,1383261000000,2013-11-01 00:10:00+0100,183.50499698333442
4159,1383261600000,2013-11-01 00:20:00+0100,204.43130380567163
4159,1383262200000,2013-11-01 00:30:00+0100,212.3740529185161
4159,1383262800000,2013-11-01 00:40:00+0100,195.768007427454
4159,1383263400000,2013-11-01 00:50:00+0100,211.86059345118701
4159,1383264000000,2013-11-01 01:00:00+0100,218.11395151074976
4159,1383264600000,2013-11-01 01:10:00+0100,261.6892698239535
4159,1383265200000,2013-11-01 01:20:00+0100,175.93375257123262
4159,1383265800000,2013-11-01 01:30:00+0100,204.93505859375
4159,1383266400000,2013-11-01 01:40:00+0100,175.95896686427295
4159,1383267000000,2013-11-01 01:50:00+0100,188.504150390625
4159,1383267600000,2013-11-01 02:00:00+0100,185.85256845410913
4159,1383268200000,2013-11-01 02:10:00+0100,210.17011798731983
4159,1383268800000,2013-11-01 02:20:00+0100,193.34803321678191
4159,1383269400000,2013-11-01 02:30:00+0100,181.34714955091476
4159,1383270000000,2013-11-01 02:40:00+0100,193.03419494628906
4159,1383270600000,2013-11-01 02:50:00+0100,179.2100830078125
4159,1383271200000,2013-11-01 03:00:00+0100,178.5042266845703
4159,1383271800000,2013-11-01 03:10:00+0100,213.5555714732036
4159,1383272400000,2013-11-01 03:20:00+0100,206.8105926513672
4159,1383273000000,2013-11-01 03:30:00+0100,175.1715545654297
4159,1383273600000,2013-11-01 03:40:00+0100,197.0337831377983
4159,1383274200000,2013-11-01 03:50:00+0100,168.97225952148438
4159,1383274800000,2013-11-01 04:00:00+0100,164.4624786376953
4159,1383275400000,2013-11-01 04:10:00+0100,159.40231332182884
4159,1383276000000,2013-11-01 04:20:00+0100,169.21748360991478
4159,1383276600000,2013-11-01 04:30:00+0100,149.31512451171875
4159,1383277200000,2013-11-01 04:40:00+0100,168.92843833565712
4159,1383277800000,2013-11-01 04:50:00+0100,155.4542542397976
4159,1383278400000,2013-11-01 05:00:00+0100,155.5745391845703
4159,1383279000000,2013-11-01 05:10:00+0100,199.38120920117944
4159,1383279600000,2013-11-01 05:20:00+0100,148.11186227202415
