square_id,total_internet_traffic
1,92992.66659100028
2,93368.38837972865
3,93768.32936969958
4,91904.38154897094
5,83630.69734398462
6,93768.32936969958
7,93768.32936969958
8,93768.32936969958
9,93768.32936969958
10,56177.7231972022
11,29643.678361820057
12,21867.7863350166
13,13538.531292461848
14,21478.096614937298
15,22429.400896575302
16,26981.520285974257
17,32421.145423659815
18,32421.169930165284
19,32423.481369561516
20,32424.47858217545
21,32434.81731610326
22,32448.544099677354
23,34524.624544289894
24,49538.2430757588
25,49966.58261876181
26,49966.58261876181
27,53278.19224016555
28,59318.434767297935
29,65193.88366671372
30,67584.75101646036
31,68077.99855752941
32,75161.88676909171
33,82038.77692240593
34,75300.4086667801
35,65535.65477693826
36,65535.65477693826
37,65535.65477693826
38,65535.65477693826
39,70391.54729378875
40,69457.31458422105
41,82846.81358718977
42,88116.61877516471
43,139849.33372362703
44,201322.3988342099
45,201322.3988342099
46,201322.3988342099
47,852823.365174324
48,1252877.086004584
49,434177.71085270494
50,123587.91508271918
51,104067.577492801
52,107600.56080748374
53,103821.21342341718
54,115980.53345826268
55,126017.17485342175
56,107975.48956006469
57,88677.85134700988
58,90094.81643077557
59,85229.41975977179
60,76316.50213231519
61,54153.69335807115
62,54153.69335807115
63,55828.89664017642
64,82645.96937677031
65,124087.59089486673
66,125731.45237622783
67,136705.94784097746
68,172437.26229384122
69,141099.3322426034
70,98104.18355482491
71,92244.23289931925
72,105715.5264901224
73,121999.03343025423
74,122575.51639834978
75,122623.41236228496
76,122623.41236228496
77,122623.41236228496
78,122623.41236228496
79,122623.41236228496
80,110143.0647707507
81,65974.45447718538
82,28057.11544389045
83,27362.048915719613
84,27362.048915719613
85,27362.048915719613
86,31754.86667400878
87,43951.054102012946
88,45314.14548347751
89,45314.14548347751
90,45314.14548347751
91,47715.43800966116
92,51098.34419104271
93,72861.6558777811
94,120997.58177625295
95,120997.58177625295
96,120997.58177625295
97,120997.58177625295
98,121044.4477693853
99,120997.58177625295
100,120992.97133432887
101,93173.61753423727
102,83665.57514488048
103,93768.32936969958
104,93768.32936969958
105,93768.32936969958
106,93768.32936969958
107,93768.32936969958
108,93768.32936969958
109,93768.32936969958
110,55906.4653775068
111,32752.319024548167
112,3479.2422441538656
113,13242.852424719284
114,22780.673448439222
115,24853.622188583948
116,31961.402453747287
117,32421.103096250445
118,32421.103096250445
119,32421.103096250445
120,32421.103096250445
121,32421.75912067463
122,32444.964153120294
123,39813.185956340516
124,49739.81399626797
125,54138.56346273236
126,57988.36657540314
127,62847.04503196481
128,67910.25806315872
129,68077.99855752941
130,68077.99855752941
131,72710.31603945978
132,70479.49543899321
133,64948.196744519635
134,63137.816222065594
135,66291.024608345
136,65538.15527275084
137,65523.62217616197
138,65534.02280292567
139,65535.65477693826
140,72029.43874016653
141,87677.59876705159
142,90580.62320905179
143,91121.351531856
144,117841.88106140494
145,138582.1038612798
146,553446.3904684614
147,1597286.236962637
148,611662.2851645947
149,252692.47449174523
150,243290.31734539953
151,189784.30147292162
152,187455.08473214973
153,191997.2352764341
154,205163.56591805443
155,203773.30937003915
156,153961.82155674812
157,81521.64124177676
158,88349.44955968624
159,77989.99452322163
160,77908.55203357339
161,60495.349901653826
162,54153.69335807115
163,54153.69335807115
164,71030.20045797544
165,129546.12039005733
166,135243.64568927017
167,151085.02758493274
168,176172.697996757
169,176139.31786537397
170,162827.83535879292
171,124112.03714432893
172,122514.80846736627
173,122558.11483433098
174,123731.93013424426
175,122623.41236228496
176,122623.41236228496
177,122623.41236228496
178,122623.41236228496
179,122623.41236228496
180,117326.81545014719
181,59723.737491080305
182,27269.200072791427
183,27362.048915719613
184,27362.048915719613
185,27362.048915719613
186,36841.529513094574
187,43972.99433657746
188,50544.6554692199
189,38392.61230948474
190,38527.873410940636
191,51076.1930121287
192,51098.34419104271
193,51439.64717319433
194,92898.40261631273
195,120997.58177625295
196,120997.58177625295
197,120997.58177625295
198,120997.58177625295
199,120997.58177625295
200,120998.43200497449
201,93525.56368555452
202,90037.26381822902
203,93769.03880624869
204,93768.32936969958
205,93772.85161739503
206,93768.32936969958
207,93768.32936969958
208,93768.32936969958
209,93768.32936969958
210,70283.24100273848
211,33486.57266730396
212,26864.464730678126
213,25173.739447357155
214,23109.93481441046
215,31172.878911815933
216,32421.103096250445
217,32421.103096250445
218,32421.103096250445
219,32421.103096250445
220,32421.103096250445
221,33559.4696247417
222,38081.07968188438
223,55010.62523708213
224,58213.69345314987
225,59697.42575836368
226,61117.30459817732
227,67416.04221221246
228,68077.99855752941
229,68077.99855752941
230,68077.99855752941
231,68097.6591643733
